sentiment,content
angry,😡
angry,🤬
angry,😠
angry,😤
angry,👿
angry,💢
angry,😾
angry,🗯️
angry,🔪
angry,💣
angry,🔥
angry,🖕
angry,💥
angry,💀
angry,🙅
angry,🙅‍♂️
angry,🙅‍♀️
angry,☠️
angry,😡‍💢
angry,👊
angry,😡
angry,🤬
angry,😠
angry,😤
angry,👿
angry,💢
angry,😾
angry,🗯️
angry,🔪
angry,💣
angry,🔥
angry,🖕
angry,💥
angry,💀
angry,🙅
angry,🙅‍♂️
angry,🙅‍♀️
angry,☠️
angry,😡‍💢
angry,👊
angry,😡
angry,🤬
angry,😠
angry,😤
angry,👿
angry,💢
angry,😾
angry,🗯️
angry,🔪
angry,💣
angry,🔥
angry,🖕
angry,💥
angry,💀
angry,🙅
angry,🙅‍♂️
angry,🙅‍♀️
angry,☠️
angry,😡‍💢
angry,👊
angry,😡
angry,🤬
angry,😠
angry,😤
angry,👿
angry,💢
angry,😾
angry,🗯️
angry,🔪
angry,💣
angry,🔥
angry,🖕
angry,💥
angry,💀
angry,🙅
angry,🙅‍♂️
angry,🙅‍♀️
angry,☠️
angry,😡‍💢
angry,👊
angry,😡
angry,🤬
angry,😠
angry,😤
angry,👿
angry,💢
angry,😾
angry,🗯️
angry,🔪
angry,💣
angry,🔥
angry,🖕
angry,💥
angry,💀
angry,🙅
angry,🙅‍♂️
angry,🙅‍♀️
angry,☠️
angry,😡‍💢
angry,👊
boredom,😒
boredom,😔
boredom,😴
boredom,🙄
boredom,😕
boredom,🤨
boredom,😟
boredom,😑
boredom,😞
boredom,🤔
boredom,😬
boredom,😌
boredom,🙃
boredom,😐
boredom,😪
boredom,😶
boredom,😥
boredom,😫
boredom,😳
boredom,😩
boredom,😒
boredom,😔
boredom,😴
boredom,🙄
boredom,😕
boredom,🤨
boredom,😟
boredom,😑
boredom,😞
boredom,🤔
boredom,😬
boredom,😌
boredom,🙃
boredom,😐
boredom,😪
boredom,😶
boredom,😥
boredom,😫
boredom,😳
boredom,😩
boredom,😒
boredom,😔
boredom,😴
boredom,🙄
boredom,😕
boredom,🤨
boredom,😟
boredom,😑
boredom,😞
boredom,🤔
boredom,😬
boredom,😌
boredom,🙃
boredom,😐
boredom,😪
boredom,😶
boredom,😥
boredom,😫
boredom,😳
boredom,😩
boredom,😒
boredom,😔
boredom,😴
boredom,🙄
boredom,😕
boredom,🤨
boredom,😟
boredom,😑
boredom,😞
boredom,🤔
boredom,😬
boredom,😌
boredom,🙃
boredom,😐
boredom,😪
boredom,😶
boredom,😥
boredom,😫
boredom,😳
boredom,😩
boredom,😒
boredom,😔
boredom,😴
boredom,🙄
boredom,😕
boredom,🤨
boredom,😟
boredom,😑
boredom,😞
boredom,🤔
boredom,😬
boredom,😌
boredom,🙃
boredom,😐
boredom,😪
boredom,😶
boredom,😥
boredom,😫
boredom,😳
boredom,😩
disappointment,😞
disappointment,😔
disappointment,😟
disappointment,😕
disappointment,🙁
disappointment,😢
disappointment,😭
disappointment,😩
disappointment,😣
disappointment,😖
disappointment,😫
disappointment,😓
disappointment,😡
disappointment,🤦
disappointment,🤦‍♂️
disappointment,🤦‍♀️
disappointment,😶
disappointment,💔
disappointment,😬
disappointment,😥
disappointment,😞
disappointment,😔
disappointment,😟
disappointment,😕
disappointment,🙁
disappointment,😢
disappointment,😭
disappointment,😩
disappointment,😣
disappointment,😖
disappointment,😫
disappointment,😓
disappointment,😡
disappointment,🤦
disappointment,🤦‍♂️
disappointment,🤦‍♀️
disappointment,😶
disappointment,💔
disappointment,😬
disappointment,😥
disappointment,😞
disappointment,😔
disappointment,😟
disappointment,😕
disappointment,🙁
disappointment,😢
disappointment,😭
disappointment,😩
disappointment,😣
disappointment,😖
disappointment,😫
disappointment,😓
disappointment,😡
disappointment,🤦
disappointment,🤦‍♂️
disappointment,🤦‍♀️
disappointment,😶
disappointment,💔
disappointment,😬
disappointment,😥
disappointment,😞
disappointment,😔
disappointment,😟
disappointment,😕
disappointment,🙁
disappointment,😢
disappointment,😭
disappointment,😩
disappointment,😣
disappointment,😖
disappointment,😫
disappointment,😓
disappointment,😡
disappointment,🤦
disappointment,🤦‍♂️
disappointment,🤦‍♀️
disappointment,😶
disappointment,💔
disappointment,😬
disappointment,😥
disappointment,😞
disappointment,😔
disappointment,😟
disappointment,😕
disappointment,🙁
disappointment,😢
disappointment,😭
disappointment,😩
disappointment,😣
disappointment,😖
disappointment,😫
disappointment,😓
disappointment,😡
disappointment,🤦
disappointment,🤦‍♂️
disappointment,🤦‍♀️
disappointment,😶
disappointment,💔
disappointment,😬
disappointment,😥
disgust,🤢
disgust,🤮
disgust,😖
disgust,😒
disgust,😤
disgust,😡
disgust,👎
disgust,🙅
disgust,🙅‍♂️
disgust,🙅‍♀️
disgust,🤬
disgust,😾
disgust,💢
disgust,🔥
disgust,😩
disgust,☠️
disgust,💀
disgust,😠
disgust,😣
disgust,😷
disgust,🤢
disgust,🤮
disgust,😖
disgust,😒
disgust,😤
disgust,😡
disgust,👎
disgust,🙅
disgust,🙅‍♂️
disgust,🙅‍♀️
disgust,🤬
disgust,😾
disgust,💢
disgust,🔥
disgust,😩
disgust,☠️
disgust,💀
disgust,😠
disgust,😣
disgust,😷
disgust,🤢
disgust,🤮
disgust,😖
disgust,😒
disgust,😤
disgust,😡
disgust,👎
disgust,🙅
disgust,🙅‍♂️
disgust,🙅‍♀️
disgust,🤬
disgust,😾
disgust,💢
disgust,🔥
disgust,😩
disgust,☠️
disgust,💀
disgust,😠
disgust,😣
disgust,😷
disgust,🤢
disgust,🤮
disgust,😖
disgust,😒
disgust,😤
disgust,😡
disgust,👎
disgust,🙅
disgust,🙅‍♂️
disgust,🙅‍♀️
disgust,🤬
disgust,😾
disgust,💢
disgust,🔥
disgust,😩
disgust,☠️
disgust,💀
disgust,😠
disgust,😣
disgust,😷
disgust,🤢
disgust,🤮
disgust,😖
disgust,😒
disgust,😤
disgust,😡
disgust,👎
disgust,🙅
disgust,🙅‍♂️
disgust,🙅‍♀️
disgust,🤬
disgust,😾
disgust,💢
disgust,🔥
disgust,😩
disgust,☠️
disgust,💀
disgust,😠
disgust,😣
disgust,😷
empty,😶
empty,😐
empty,🙃
empty,😑
empty,🤔
empty,🤷
empty,🤷‍♂️
empty,🤷‍♀️
empty,😕
empty,😒
empty,😌
empty,😬
empty,😟
empty,😔
empty,😳
empty,😢
empty,🤦
empty,🤦‍♂️
empty,🤦‍♀️
empty,💨
empty,😶
empty,😐
empty,🙃
empty,😑
empty,🤔
empty,🤷
empty,🤷‍♂️
empty,🤷‍♀️
empty,😕
empty,😒
empty,😌
empty,😬
empty,😟
empty,😔
empty,😳
empty,😢
empty,🤦
empty,🤦‍♂️
empty,🤦‍♀️
empty,💨
empty,😶
empty,😐
empty,🙃
empty,😑
empty,🤔
empty,🤷
empty,🤷‍♂️
empty,🤷‍♀️
empty,😕
empty,😒
empty,😌
empty,😬
empty,😟
empty,😔
empty,😳
empty,😢
empty,🤦
empty,🤦‍♂️
empty,🤦‍♀️
empty,💨
empty,😶
empty,😐
empty,🙃
empty,😑
empty,🤔
empty,🤷
empty,🤷‍♂️
empty,🤷‍♀️
empty,😕
empty,😒
empty,😌
empty,😬
empty,😟
empty,😔
empty,😳
empty,😢
empty,🤦
empty,🤦‍♂️
empty,🤦‍♀️
empty,💨
empty,😶
empty,😐
empty,🙃
empty,😑
empty,🤔
empty,🤷
empty,🤷‍♂️
empty,🤷‍♀️
empty,😕
empty,😒
empty,😌
empty,😬
empty,😟
empty,😔
empty,😳
empty,😢
empty,🤦
empty,🤦‍♂️
empty,🤦‍♀️
empty,💨
enthusiasm,🎉
enthusiasm,🎊
enthusiasm,😃
enthusiasm,😁
enthusiasm,😄
enthusiasm,🤩
enthusiasm,😍
enthusiasm,🥳
enthusiasm,✨
enthusiasm,🌟
enthusiasm,🙌
enthusiasm,👏
enthusiasm,💃
enthusiasm,🕺
enthusiasm,🎶
