sentiment,content
anger,i might feel outraged and offended but that s really not called for
anger,i could plod along in my life with my head down feeling envious of what i don t have and frustrated at the spectacle of what an average life has become
anger,i feel outraged and in pain for this community
anger,"I know I'm a blabbermouth , but what do you think she should do , John ? "
anger,i feel enraged and hurt but they re so much fewer now and i remind myself every time they happen that the best way to recover is to focus on where i m going not where i ve been
anger,i have to admit that im kind of hypertension feel very very very very scare to make her angry i trying my best to become a best boy friend but some how i feel like im kinda stupid
anger,i listen to when i feel discouraged as a writer this is what i listen to when i feel discouraged as a writer a href http writingismypower
anger,i was feeling a bit discouraged after tasting the other peanut butters so i hoped that this peanut butter would really give me something to wow at
anger,i had a horrendous dream woke up feeling disturbed and angry
anger,i may feel disheartened and discouraged at times ill leave the church feeling light hearted
anger,i see these i feel very discouraged because my body doesn t look like that pre baby
anger,i want to do this on my own to get a feeling of how user friendly it is for the average person
anger,i feel like i m going to break at any second and become as mad and deranged a la helena bonham carter in sweeney todd
anger,I swear I will never shop at a street market in China . It's a terrible place full of excellent profiteers ! You have to keep an eye whenever it comes to paying for something . 
anger,Have you ever felt so angry about men that you 've been moved to write a song about it ? 
anger,i feel devastated and disgusted and angry that my baby s body was thrown away like a piece of trash and i will never have my questions answered
anger,i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote
anger,i still have a long ways to go and feel discouraged a lot but i tell myself i have to keep going or i will never know what i am capable of becoming
anger,"He 'll be cross , but I 'll"
anger,i feel enraged so little is being done to help you and guilty for the times i take my own life for granted
anger,It is not uncommon to hear of old women who are cross when asked to perform domestic tasks in residential c
anger,i am feeling angry or frustrated
anger,Doctor McCann turned an exasperated face away and addressed himself to 
anger,i feel discouraged because others seem to have it all together and i seem to be like a feather in the wind
anger,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;"
anger,i going to encourage the people i face or tear them down as soon as i feel threatened or hurt
anger,When someone told a secret I told them not to tell.
anger,i get another call from a frantic junior for my file and i obviously refused ta help her and now im feeling like i was too rude i mean i jz went like yeah sorry i just dont do that
anger,i would feel somewhat discouraged that my time with the mares was so limited leaving me unable to observe and interact with the horses at different times of the day when they might be doing something other than hanging out in the middle of their self created dusty loafing spot
anger,i feel genuinely wronged
anger,I just absolutely lost my mind.. :(
anger,i was on the th i am feeling less discouraged because the scale moved and it moved down
anger,i feel outraged and want to yell
anger,i feel like i am kinda being bitchy to alot of people but whatever
anger,They promised us a sea view . 
anger,i am feeling irritable and angry with myself
anger,i today feeling outraged and complaining in the media asking
anger,i see the what i eat pictures i always feel discouraged
anger,"He shows his annoyance with some intimidating facial expression , backed up by a sparse selection of adjectival punctuation invariably using the ` f "" word , which he uses with considerable effect . "
anger,i guess the we rode away feeling so outraged that the fine morning was spoiled for trembling all over
anger,i feel a bit angry tonight after having listened to the news about the old man whose wife died and the carer who subsequently worked for him privately afterwards sued him for redundancy
anger," But I ended up with finding out lady that night , that you were with other girl at cafe near your home . "
anger,South Korea cheating for gold medals.
anger,i remember feeling very very violent and very disgusted the oscar winner tells access hollywood
anger,i go from your presence from praying for wisdom and patience and feel so instantly furious
anger,i will feel angry and i will take a chainsaw and i ll scare him off
anger,"Residential workers are faced with youngsters who are not only anxious and resentful about family events , but may also be mistrustful of those who try to help them . "
anger,i have a feeling that the robin that builds her next under our deck is getting pissed too
anger,"Indonesian officials were somewhat miffed Friday when the mayor of Hanover , he took the occasion of welcoming Suharto to lecture him about human rights violations in Indonesia ."
anger,i didn t say you shouldn t feel outraged by it but i was gt gt referring to people who d only feel outraged by this and not by let s gt gt say a person being thrown off that cliff or shot in the face
anger,ive been feeling quite discouraged about my blog and college and everything lately and i know it happens to us all but it really is a bad feeling
anger,I believe it was F*CK OFF. RT @RadioSpecialK: @benjaminphoenix remember when u told our boss to go F*ck himself?  #issues
anger,i can feel that it is a little angry at me
anger,She said : ` Don't be cross with them . 
anger, A warrant for what ? 
anger,i listen to tracks where the sound and or performers are angry excessively distorted or boisterous my spirit somehow feels agitated
anger,i need to reflect on why i feel irritated
anger,It was necessary to organise a competition in connection with a celebration. Everyone was to be present at that event. It turned out that there was no audience at all because everyone had pretended to be very intelligent and no one had come. I got furious.
anger,having unwanted attention paid to me in my place of work harrassment and sexual harrassment by another worker disgusted by his implications
anger,i have irrational feelings of abandonment and i still feel bitter about that to this day angry that my husband couldnt be with me that there was no one to support me
anger,He gave a little grunt of exasperat
anger,i feel a mad connection with your body and this is how i decided to kick off side a
anger,Fuck this bs wait. Now I'm pissed off. 
anger,i still feel like the debate was vicious on both sides
anger,i feel intensely resentful of them and angry with myself i am permitting a part of myself to be stolen
anger, Really ? Who made that rule up ? 
anger,i feel like i was a rude ass hole at hookah
anger,The awkward moment you get ditched on your anniversary night out. 
anger,Landlord putting up rents sneaky and slimiy.
anger,i can never work out if im feeling angry because im griefy or because im just angry
anger,i woke up this morning after wine a fire on a cool evening and a nerve pill and i still feel all petty and angry and frustrated
anger,i get that it s the way the world works at least three friends have spoken about this recently as it relates to their own lives but i realise that i feel angry about this way we relate to one another in this world
anger,i feel food smarter already and slightly annoyed calories counting is so annoying
anger,"I caught a \peeping tom\"" at my window when I was getting undressed."""
anger,im average at a lot of things amp even above average at a few but i cant name that one thing that i feel like im actually pretty talented at
anger,ive vented and cried and now im a little more calm and feeling less hostile
anger,i like to buck the system and climb on my soapbox when i feel wronged or see others wronged but for the most part i am more comfortable with a society that accepts certain behaviors as moral truths
anger,some people just make your blood boil! UGHHH! 
anger,i feel discouraged by obstacles i remember to be grateful for the smallest of things in my life look at the bigger picture search for another way to get there and remember what the final outcome will be
anger,i feel resentful about being a giver
anger,"When a person the same age as me insisted that I call him \Mister\"".  I refused to succumb, but he persisted and I got angry as he had belittled me."""
anger,i thought i had helped her not to feel so angry at her genitalia by explaining to her that the stuff that she has there now will later be used to fashion her girl parts
anger,i was annoyed this particular day as it seemad that the odds were not in my favour my grandfather added fuel to the fire
anger,i would feel so angry alone and cheated
anger,i feel irritated useless and hopeless
anger,my friend often played a joke on me and sometimes i thought that he was a nonsensical person once when we went to a friends house he walked in first and shut the door firmly behind him i felt that he did not respect me and moreover i was his friend so he should not have behaved like that i was very angry as it is i was in a bad mood then
anger,i suppose most people would feel distraught or angry or something that they managed to run into every ex they had but it just makes me laugh
anger,i really feel bothered about this specific issue because it feels like i just thrown a couple hundred euros against the wall
anger,i feel i ve been wronged luckily i managed to control myself and not complain or talk bad about the friend either online on facebook or offline in person
anger,ill be honest im feeling a bit discouraged because the list is long and its seriously already may
anger,i can only do it when i feel really angry or snarky
anger,i was feeling pretty smug about going to this event because the rented stand space came with a fully erect market stall and thus negated the nasty necessity for me to bring our marquee our marquee gives me rage
anger,I hate shopping with my mother 
anger,i empathize with everyone who is feeling outraged i have to conclude reserving the right to change my mind completely that the life sentence is all told probably for the best
anger,i feel to you or dad because dad is pissed about the dishes and will in turn belittle the way i feel to simply me being a spoiled little bitch who doesn t do jack around the house
anger,i feel so discouraged you guys
anger,i remember him feeling discouraged
anger,i was feeling extremely discouraged at this point almost on the brink of tears thinking what am i doing travelling by myself without a plan in a country where i don t know the language
anger,i on the other hand when hearing their part of the story and injected in it some words of admiration and encouragement made them feel glad
anger,i feel stressed frequently
anger,"` Oh ! "" she bleated , her voice high and rather indignant . "
anger,i feel outraged on the inside
anger,i feel i was appalled to see a misused apostrophe on the bbc and an incorrect spelling on itv last week
anger,i was really angry at them since i feel that i am really sincere towards qiuyue and all i wanted is just to be together with her
anger,i would like to do more to denounce these crimes and human rights violations and i feel deeply outraged by them
anger," He gets mad when Gary doesn't sleep , he says it 's my fault , he says I make him do it  and   She stopped again . "
anger,"A gang of local ruffians was passing by and , when they saw what was happening , became infuriated against Richard Baxter . "
anger,im not even that heavy anymore but i continue to feel outraged at the concept
anger,this library trip is taking TOO long yo'
anger,i was feeling like im being deprived i was kind of angry and feeling very sorry for myself
anger,im so angry but i feel foolish
anger,i get the feeling that theyll all gel together anyway because im too impatient to wait on change
anger,i have to share with you all that i am feeling a little discouraged about my body and how sometimes i feel like after all this sweat and tears i still do not look the way that i feel like i should
anger, You said you were only going to window shop ! 
anger,"I was living in a flat where things did not go very well for me.  Finally, they threw me out and this prejudiced people I esteem a lot."
anger,"My father accused my brother of having bumped his car, and it was wrong."
anger,i was trapped in the mall and was starting to feel like a mallrat and i hated it
anger,i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing
anger,Why didn't you tell me you had a girlfriend ? 
anger, You're such a wimp ! You're afraid of an eyelash curler . 
anger, I've created a monster ... you're a better bayer than me ! 
anger,i was feeling angry and i wanted to control him and make him do what i wanted in order to meet his need for learning
anger,i am feeling very discouraged and worried today
anger,I feel angry at people's indifference at our ability to be present at an event and to stay partial to what happens.
anger,im feeling very enraged at myself mow
anger,i have really been feeling discouraged this week
anger,"Really annoyed that @Burton_Menswear have cancelled my order, if they didnt have my xmas jumper, it shouldnt have been on the website "
anger,i feel furious on your behalf
anger,I felt angry when I heard that my sister had failed the Examinations which we hoped she was going to pass with distinctions.
anger,i listen to when i am feeling discouraged when i feel that i am slipping back into the darkness and losing hope
anger,"I'm sure the Olympics are going to be great but London, is it really necessary to undertake any more rail engineering works?  "
anger, What did you think you were doing ? 
anger,i got my first ever all romance ebooks silver star when a publishing house works together authors feel free and are encouraged to push their boundaries
anger,i feel discouraged and afraid of failing
anger,At school when I had a shouting argument with a friend over my ability to carry out a particular duty in the correct way without harming her.
anger,i walked away from the conversation feeling energized respected and encouraged
anger,i was sitting on the couch looking around the room and feeling discouraged and guilty about what a cluttered mess my whole house is
anger,"Hate my brothers playing super mario bros with the sound on full, what a horrid way to wake up "
anger,i compare it to mine i feel irritated but i tried to be realistic to calm my self down
anger,i feel like i m being tortured for government secrets i don t know anything
anger,I had to grow up fast n wt owt u. Wn u came bk i ws grown nw tht im mre grown i feel lyk.... 
anger,I'm ready to go the hell home. So stop talking and check me out! 
anger,being subject to unfair treatment in a working group
anger,"If she did n't know him better , she would have said he was cross with her . "
anger,i feel discouraged and when i need to talk about my feelings he s always there to listen
anger,i hear other people talk about their experiences with prayer and to be truthful when i hear those stories i often feel angry or resentful
anger,i went to class wednesday and friday and came home feeling more discouraged than i had felt in a long time
anger,"Barbarossa sent a mandate requiring Milan to give up her claims , but the Milanese consuls tore up the document , and the imperial ambassador fled an enraged crowd . "
anger,@THOMfooled Studying for Marketing Research yourself? I don't understand statistics whatsoever! 
anger,i also have to be honest this post almost didnt happen because i woke up feeling shitty and cranky and angry today after going to bed feeling shitty and cranky and angry last night
anger,i feel totally outraged at the conspiracy of silence involving the government headed by the health minister datuk liow tiong lai and even the media to play down the worst dengue epidemic in the country s history which has to date claimed lives and recorded over dengue cases
anger,i am feeling especially discouraged there are two things that i do
anger,i was angry because as close as we are to getting out of here the one obstacle standing in our way is so threatning it makes me feel helpless
anger,One farmer was livid that he could not go into his local National Park and chop wood for his barbecue . 
anger,So yesterday I find out Prom lands on TOC weekend. Today I find out WTP Nationals is on weekend of State Championship.  
anger,Frau Nordern allowed herself a note of exasperation . 
anger,i would imagine why they feel outraged by it and betrayed
anger,i finally could gather enuf courage n strength to move on feeling inhibited
anger,"On a recent visit to a day centre , which served both younger disabled and old people , I was told that old people were envious and resentful when computer learning was introduced for the younger disabled peo"
anger, That's all right . But why were you so rude to me at lunch . 
anger,i feel as though she s the patron goddess of the divine rage of women and i certainly have a lot of that
anger,i feel almost angry that i have been fed like a lab rat for so many years
anger,i feel angry with myself
anger,y I'm single.. and the fact no one has stole my heart
anger,i was feeling stressed or discouraged she was always there to pick me up
anger, You've got so many cousins . I called you later that night . But you didn't have the guts to answer the phone . 
anger,Stock investors were not miffed by the frantic currency markets .
anger,"I was to meet a friend at the bus-stop (he was coming to visit us) and he did not turn up.  After having waited for him for some time     (about an hour) I called him up, to be told that he did not intend to come as he was feeling tired."
anger,i don't even understand the intro to this book 
anger,i get more angry at what you have done that i must tell you how i feel its not that you broke up with her but how you did it and the speed in which you made that decision
anger,i was angry with a friend of mine who behaved in an affected manner
anger,i am now able to name my feelings of anger disappointment hurt and speak to them before i rage or seek validation in some other way
anger,i feel discouraged and wonder why im putting the pressure on to share myself and my work with a world i will probably never meet
anger,i began to feel like maybe i had rushed into this and not prayed or thought through it enough
anger,i am feeling rather bitter and rather defeated over a multitude of subjects but lets talk about the main one
anger,i feel hurt and angry and most of all tired of the fight
anger,When my sister lost my favourite jumper at a party and failed to tell me for several days after it happened.
anger,i cannot help but feel outraged to recognize that essentially children in america have no rights at all
anger,i can feel it when i walk the streets in my collar and people sometimes look away or smirk or even give me an angry stare
anger,i hope that on the days when im feeling discouraged and weak and when i just need a nap that the older wiser parents that have gone before me will be more quick to hand me some encouragement than discouragement
anger,i woke up feeling very insecure and angry and upset
anger,i am sat here feeling mightily distracted and not wanting to write the next scene of my nano just yet rape torture bad stuff
anger,i was plagiarized by arbitrage magazine but i m the one who feels terrible about it may a class rsswidget href http betabeat
anger,i don t feel like i am dissatisfied because i don t have things i think i am dissatisfied because not much is changing in me and i still feel bad at times
anger,i should probably stop feeling outraged that a father could do that and start looking at it differently
anger,i me still feeling cold from the swim which doesnt really count as one earlier on
anger,"As he released his anger , he felt his love for his ex-wife , and wept over their divorce . "
anger,i feel im being violent is i say no im not going to accept that and here are the consequences
anger,i don t want to waste my days feeling fearful or angry
anger,i feel so comically enraged
anger," That was my line , Mark . I know we worked on the ad together , but that was definitely my line . "
anger,i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber
anger, What did you think you were doing ? 
anger,@Molly_Rose63 I've had it happen so much I'm tired of it. I just feel like saying I am looking for love not sex fuck faces!! 
anger,i like to think i can handle a lot but when i feel like my cup runneth over i get irritable
anger,i want to say how i want to feel just come out so bitter and angry
anger,i didnt feel a thing and i was discouraged that my labor wasnt starting
anger,i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard
anger,i know i have told this story before but i still feel enraged twenty six years on
anger,i have cried gotten angry frustrated gone to bed feeling positive i would wake up in labor
anger,Is There a life after Death?! make me angry and find out !   #hulk
